year,id,count,area_type,statefip,countyfip
2015,321418821,321418821,United States,,
2016,323127515,323127515,United States,,
2017,325719178,325719178,United States,,
2018,327167439,327167439,United States,,
2019,328239523,328239523,United States,,
2020,329504815,329504815,United States,,
2021,331893745,331893745,United States,,
2022,333287562,333287562,United States,,
2015,4858979,4858979,state,alabama,
2015,738432,738432,state,alaska,
2015,6828065,6828065,state,arizona,
2015,2978204,2978204,state,arkansas,
2015,39144818,39144818,state,california,
2015,5456574,5456574,state,colorado,
2015,3590886,3590886,state,connecticut,
2015,945934,945934,state,delaware,
2015,672228,672228,state,district of columbia,
2015,20271272,20271272,state,florida,
2015,10214860,10214860,state,georgia,
2015,1431603,1431603,state,hawaii,
2015,1654930,1654930,state,idaho,
2015,12859995,12859995,state,illinois,
2015,6619680,6619680,state,indiana,
2015,3123899,3123899,state,iowa,
2015,2911641,2911641,state,kansas,
2015,4425092,4425092,state,kentucky,
2015,4670724,4670724,state,louisiana,
2015,1329328,1329328,state,maine,
2015,6006401,6006401,state,maryland,
2015,6794422,6794422,state,massachusetts,
2015,9922576,9922576,state,michigan,
2015,5489594,5489594,state,minnesota,
2015,2992333,2992333,state,mississippi,
2015,6083672,6083672,state,missouri,
2015,1032949,1032949,state,montana,
2015,1896190,1896190,state,nebraska,
2015,2890845,2890845,state,nevada,
2015,1330608,1330608,state,new hampshire,
2015,8958013,8958013,state,new jersey,
2015,2085109,2085109,state,new mexico,
2015,19795791,19795791,state,new york,
2015,10042802,10042802,state,north carolina,
2015,756928,756928,state,north dakota,
2015,11613423,11613423,state,ohio,
2015,3911338,3911338,state,oklahoma,
2015,4028977,4028977,state,oregon,
2015,12802503,12802503,state,pennsylvania,
2015,1056298,1056298,state,rhode island,
2015,4896146,4896146,state,south carolina,
2015,858469,858469,state,south dakota,
2015,6600299,6600299,state,tennessee,
2015,27469114,27469114,state,texas,
2015,2995919,2995919,state,utah,
2015,626042,626042,state,vermont,
2015,8382993,8382993,state,virginia,
2015,7170351,7170351,state,washington,
2015,1844128,1844128,state,west virginia,
2015,5771337,5771337,state,wisconsin,
2015,586107,586107,state,wyoming,
2016,4863300,4863300,state,alabama,
2016,741894,741894,state,alaska,
2016,6931071,6931071,state,arizona,
2016,2988248,2988248,state,arkansas,
2016,39250017,39250017,state,california,
2016,5540545,5540545,state,colorado,
2016,3576452,3576452,state,connecticut,
2016,952065,952065,state,delaware,
2016,681170,681170,state,district of columbia,
2016,20612439,20612439,state,florida,
2016,10310371,10310371,state,georgia,
2016,1428557,1428557,state,hawaii,
2016,1683140,1683140,state,idaho,
2016,12801539,12801539,state,illinois,
2016,6633053,6633053,state,indiana,
2016,3134693,3134693,state,iowa,
2016,2907289,2907289,state,kansas,
2016,4436974,4436974,state,kentucky,
2016,4681666,4681666,state,louisiana,
2016,1331479,1331479,state,maine,
2016,6016447,6016447,state,maryland,
2016,6811885,6811885,state,massachusetts,
2016,9928300,9928300,state,michigan,
2016,5519952,5519952,state,minnesota,
2016,2988726,2988726,state,mississippi,
2016,6093000,6093000,state,missouri,
2016,1042520,1042520,state,montana,
2016,1907116,1907116,state,nebraska,
2016,2940058,2940058,state,nevada,
2016,1334689,1334689,state,new hampshire,
2016,8944469,8944469,state,new jersey,
2016,2081015,2081015,state,new mexico,
2016,19745289,19745289,state,new york,
2016,10146788,10146788,state,north carolina,
2016,757953,757953,state,north dakota,
2016,11614373,11614373,state,ohio,
2016,3923561,3923561,state,oklahoma,
2016,4093465,4093465,state,oregon,
2016,12784227,12784227,state,pennsylvania,
2016,1056426,1056426,state,rhode island,
2016,4961119,4961119,state,south carolina,
2016,865454,865454,state,south dakota,
2016,6651194,6651194,state,tennessee,
2016,27862596,27862596,state,texas,
2016,3051217,3051217,state,utah,
2016,624594,624594,state,vermont,
2016,8411808,8411808,state,virginia,
2016,7288000,7288000,state,washington,
2016,1831102,1831102,state,west virginia,
2016,5778709,5778709,state,wisconsin,
2016,585501,585501,state,wyoming,
2017,4874747,4874747,state,alabama,
2017,739795,739795,state,alaska,
2017,7016270,7016270,state,arizona,
2017,3004279,3004279,state,arkansas,
2017,39536653,39536653,state,california,
2017,5607154,5607154,state,colorado,
2017,3588184,3588184,state,connecticut,
2017,961939,961939,state,delaware,
2017,693972,693972,state,district of columbia,
2017,20984400,20984400,state,florida,
2017,10429379,10429379,state,georgia,
2017,1427538,1427538,state,hawaii,
2017,1716943,1716943,state,idaho,
2017,12802023,12802023,state,illinois,
2017,6666818,6666818,state,indiana,
2017,3145711,3145711,state,iowa,
2017,2913123,2913123,state,kansas,
2017,4454189,4454189,state,kentucky,
2017,4684333,4684333,state,louisiana,
2017,1335907,1335907,state,maine,
2017,6052177,6052177,state,maryland,
2017,6859819,6859819,state,massachusetts,
2017,9962311,9962311,state,michigan,
2017,5576606,5576606,state,minnesota,
2017,2984100,2984100,state,mississippi,
2017,6113532,6113532,state,missouri,
2017,1050493,1050493,state,montana,
2017,1920076,1920076,state,nebraska,
2017,2998039,2998039,state,nevada,
2017,1342795,1342795,state,new hampshire,
2017,9005644,9005644,state,new jersey,
2017,2088070,2088070,state,new mexico,
2017,19849399,19849399,state,new york,
2017,10273419,10273419,state,north carolina,
2017,755393,755393,state,north dakota,
2017,11658609,11658609,state,ohio,
2017,3930864,3930864,state,oklahoma,
2017,4142776,4142776,state,oregon,
2017,12805537,12805537,state,pennsylvania,
2017,1059639,1059639,state,rhode island,
2017,5024369,5024369,state,south carolina,
2017,869666,869666,state,south dakota,
2017,6715984,6715984,state,tennessee,
2017,28304596,28304596,state,texas,
2017,3101833,3101833,state,utah,
2017,623657,623657,state,vermont,
2017,8470020,8470020,state,virginia,
2017,7405743,7405743,state,washington,
2017,1815857,1815857,state,west virginia,
2017,5795483,5795483,state,wisconsin,
2017,579315,579315,state,wyoming,
2018,4887871,4887871,state,alabama,
2018,737438,737438,state,alaska,
2018,7171646,7171646,state,arizona,
2018,3013825,3013825,state,arkansas,
2018,39557045,39557045,state,california,
2018,5695564,5695564,state,colorado,
2018,3572665,3572665,state,connecticut,
2018,967171,967171,state,delaware,
2018,702455,702455,state,district of columbia,
2018,21299325,21299325,state,florida,
2018,10519475,10519475,state,georgia,
2018,1420491,1420491,state,hawaii,
2018,1754208,1754208,state,idaho,
2018,12741080,12741080,state,illinois,
2018,6691878,6691878,state,indiana,
2018,3156145,3156145,state,iowa,
2018,2911510,2911510,state,kansas,
2018,4468402,4468402,state,kentucky,
2018,4659978,4659978,state,louisiana,
2018,1338404,1338404,state,maine,
2018,6042718,6042718,state,maryland,
2018,6902197,6902197,state,massachusetts,
2018,9995915,9995915,state,michigan,
2018,5611179,5611179,state,minnesota,
2018,2986530,2986530,state,mississippi,
2018,6126452,6126452,state,missouri,
2018,1062305,1062305,state,montana,
2018,1929268,1929268,state,nebraska,
2018,3034392,3034392,state,nevada,
2018,1356410,1356410,state,new hampshire,
2018,8908520,8908520,state,new jersey,
2018,2095428,2095428,state,new mexico,
2018,19542209,19542209,state,new york,
2018,10383620,10383620,state,north carolina,
2018,760077,760077,state,north dakota,
2018,11689442,11689442,state,ohio,
2018,3943079,3943079,state,oklahoma,
2018,4190713,4190713,state,oregon,
2018,12807060,12807060,state,pennsylvania,
2018,1057315,1057315,state,rhode island,
2018,5084127,5084127,state,south carolina,
2018,882235,882235,state,south dakota,
2018,6770010,6770010,state,tennessee,
2018,28701845,28701845,state,texas,
2018,3161105,3161105,state,utah,
2018,626299,626299,state,vermont,
2018,8517685,8517685,state,virginia,
2018,7535591,7535591,state,washington,
2018,1805832,1805832,state,west virginia,
2018,5813568,5813568,state,wisconsin,
2018,577737,577737,state,wyoming,
2019,4903185,4903185,state,alabama,
2019,731545,731545,state,alaska,
2019,7278717,7278717,state,arizona,
2019,3017804,3017804,state,arkansas,
2019,39512223,39512223,state,california,
2019,5758736,5758736,state,colorado,
2019,3565287,3565287,state,connecticut,
2019,973764,973764,state,delaware,
2019,705749,705749,state,district of columbia,
2019,21477737,21477737,state,florida,
2019,10617423,10617423,state,georgia,
2019,1415872,1415872,state,hawaii,
2019,1787065,1787065,state,idaho,
2019,12671821,12671821,state,illinois,
2019,6732219,6732219,state,indiana,
2019,3155070,3155070,state,iowa,
2019,2913314,2913314,state,kansas,
2019,4467673,4467673,state,kentucky,
2019,4648794,4648794,state,louisiana,
2019,1344212,1344212,state,maine,
2019,6045680,6045680,state,maryland,
2019,6892503,6892503,state,massachusetts,
2019,9986857,9986857,state,michigan,
2019,5639632,5639632,state,minnesota,
2019,2976149,2976149,state,mississippi,
2019,6137428,6137428,state,missouri,
2019,1068778,1068778,state,montana,
2019,1934408,1934408,state,nebraska,
2019,3080156,3080156,state,nevada,
2019,1359711,1359711,state,new hampshire,
2019,8882190,8882190,state,new jersey,
2019,2096829,2096829,state,new mexico,
2019,19453561,19453561,state,new york,
2019,10488084,10488084,state,north carolina,
2019,762062,762062,state,north dakota,
2019,11689100,11689100,state,ohio,
2019,3956971,3956971,state,oklahoma,
2019,4217737,4217737,state,oregon,
2019,12801989,12801989,state,pennsylvania,
2019,1059361,1059361,state,rhode island,
2019,5148714,5148714,state,south carolina,
2019,884659,884659,state,south dakota,
2019,6829174,6829174,state,tennessee,
2019,28995881,28995881,state,texas,
2019,3205958,3205958,state,utah,
2019,623989,623989,state,vermont,
2019,8535519,8535519,state,virginia,
2019,7614893,7614893,state,washington,
2019,1792147,1792147,state,west virginia,
2019,5822434,5822434,state,wisconsin,
2019,578759,578759,state,wyoming,
2020,4922663,4922663,state,alabama,
2020,725368,725368,state,alaska,
2020,7439168,7439168,state,arizona,
2020,3020858,3020858,state,arkansas,
2020,39273649,39273649,state,california,
2020,5801720,5801720,state,colorado,
2020,3561894,3561894,state,connecticut,
2020,986302,986302,state,delaware,
2020,708536,708536,state,district of columbia,
2020,21777656,21777656,state,florida,
2020,10735354,10735354,state,georgia,
2020,1408226,1408226,state,hawaii,
2020,1845631,1845631,state,idaho,
2020,12559183,12559183,state,illinois,
2020,6755447,6755447,state,indiana,
2020,3167157,3167157,state,iowa,
2020,2917100,2917100,state,kansas,
2020,4477027,4477027,state,kentucky,
2020,4636548,4636548,state,louisiana,
2020,1333280,1333280,state,maine,
2020,6039168,6039168,state,maryland,
2020,6893349,6893349,state,massachusetts,
2020,10005488,10005488,state,michigan,
2020,5637415,5637415,state,minnesota,
2020,2949108,2949108,state,mississippi,
2020,6160572,6160572,state,missouri,
2020,1070633,1070633,state,montana,
2020,1910229,1910229,state,nebraska,
2020,3159862,3159862,state,nevada,
2020,1369826,1369826,state,new hampshire,
2020,8866369,8866369,state,new jersey,
2020,2103947,2103947,state,new mexico,
2020,19342277,19342277,state,new york,
2020,10634814,10634814,state,north carolina,
2020,762179,762179,state,north dakota,
2020,11696589,11696589,state,ohio,
2020,4004290,4004290,state,oklahoma,
2020,4235391,4235391,state,oregon,
2020,12808018,12808018,state,pennsylvania,
2020,1064254,1064254,state,rhode island,
2020,5215144,5215144,state,south carolina,
2020,904399,904399,state,south dakota,
2020,6909363,6909363,state,tennessee,
2020,29354409,29354409,state,texas,
2020,3264928,3264928,state,utah,
2020,624318,624318,state,vermont,
2020,8565201,8565201,state,virginia,
2020,7697393,7697393,state,washington,
2020,1790562,1790562,state,west virginia,
2020,5838186,5838186,state,wisconsin,
2020,574367,574367,state,wyoming,
2021,5039877,5039877,state,alabama,
2021,732673,732673,state,alaska,
2021,7276316,7276316,state,arizona,
2021,3025891,3025891,state,arkansas,
2021,39237836,39237836,state,california,
2021,5812069,5812069,state,colorado,
2021,3605597,3605597,state,connecticut,
2021,1003384,1003384,state,delaware,
2021,670050,670050,state,district of columbia,
2021,21781128,21781128,state,florida,
2021,10799566,10799566,state,georgia,
2021,1441553,1441553,state,hawaii,
2021,1900923,1900923,state,idaho,
2021,12671469,12671469,state,illinois,
2021,6805985,6805985,state,indiana,
2021,3193079,3193079,state,iowa,
2021,2934582,2934582,state,kansas,
2021,4509394,4509394,state,kentucky,
2021,4624047,4624047,state,louisiana,
2021,1372247,1372247,state,maine,
2021,6165129,6165129,state,maryland,
2021,6984723,6984723,state,massachusetts,
2021,10050811,10050811,state,michigan,
2021,5707390,5707390,state,minnesota,
2021,2949965,2949965,state,mississippi,
2021,6168187,6168187,state,missouri,
2021,1104271,1104271,state,montana,
2021,1963692,1963692,state,nebraska,
2021,3143991,3143991,state,nevada,
2021,1388992,1388992,state,new hampshire,
2021,9267130,9267130,state,new jersey,
2021,2115877,2115877,state,new mexico,
2021,19835913,19835913,state,new york,
2021,10551162,10551162,state,north carolina,
2021,774948,774948,state,north dakota,
2021,11780017,11780017,state,ohio,
2021,3986639,3986639,state,oklahoma,
2021,4246155,4246155,state,oregon,
2021,12964056,12964056,state,pennsylvania,
2021,1095610,1095610,state,rhode island,
2021,5190705,5190705,state,south carolina,
2021,895376,895376,state,south dakota,
2021,6975218,6975218,state,tennessee,
2021,29527941,29527941,state,texas,
2021,3337975,3337975,state,utah,
2021,645570,645570,state,vermont,
2021,8642274,8642274,state,virginia,
2021,7738692,7738692,state,washington,
2021,1782959,1782959,state,west virginia,
2021,5895908,5895908,state,wisconsin,
2021,578803,578803,state,wyoming,
2022,5074296,5074296,state,alabama,
2022,733583,733583,state,alaska,
2022,7359197,7359197,state,arizona,
2022,3045637,3045637,state,arkansas,
2022,39029342,39029342,state,california,
2022,5839926,5839926,state,colorado,
2022,3626205,3626205,state,connecticut,
2022,1018396,1018396,state,delaware,
2022,671803,671803,state,district of columbia,
2022,22244823,22244823,state,florida,
2022,10912876,10912876,state,georgia,
2022,1440196,1440196,state,hawaii,
2022,1939033,1939033,state,idaho,
2022,12582032,12582032,state,illinois,
2022,6833037,6833037,state,indiana,
2022,3200517,3200517,state,iowa,
2022,2937150,2937150,state,kansas,
2022,4512310,4512310,state,kentucky,
2022,4590241,4590241,state,louisiana,
2022,1385340,1385340,state,maine,
2022,6164660,6164660,state,maryland,
2022,6981974,6981974,state,massachusetts,
2022,10034118,10034118,state,michigan,
2022,5717184,5717184,state,minnesota,
2022,2940057,2940057,state,mississippi,
2022,6177957,6177957,state,missouri,
2022,1122867,1122867,state,montana,
2022,1967923,1967923,state,nebraska,
2022,3177772,3177772,state,nevada,
2022,1395231,1395231,state,new hampshire,
2022,9261699,9261699,state,new jersey,
2022,2113344,2113344,state,new mexico,
2022,19677151,19677151,state,new york,
2022,10698973,10698973,state,north carolina,
2022,779261,779261,state,north dakota,
2022,11756058,11756058,state,ohio,
2022,4019800,4019800,state,oklahoma,
2022,4240137,4240137,state,oregon,
2022,12972008,12972008,state,pennsylvania,
2022,1093734,1093734,state,rhode island,
2022,5282634,5282634,state,south carolina,
2022,909824,909824,state,south dakota,
2022,7051339,7051339,state,tennessee,
2022,30029572,30029572,state,texas,
2022,3380800,3380800,state,utah,
2022,647064,647064,state,vermont,
2022,8683619,8683619,state,virginia,
2022,7785786,7785786,state,washington,
2022,1775156,1775156,state,west virginia,
2022,5892539,5892539,state,wisconsin,
2022,581381,581381,state,wyoming,
2022,83468,83468,county,alabama,55
2022,538678,538678,county,alabama,73
2022,134615,134615,county,alabama,81
2022,178875,178875,county,alabama,117
2022,845856,845856,county,arizona,19
2022,166626,166626,county,arizona,27
2022,100492,100492,county,arkansas,125
2022,778038,778038,county,connecticut,1
2022,729933,729933,county,connecticut,3
2022,151161,151161,county,connecticut,5
2022,130162,130162,county,connecticut,7
2022,704932,704932,county,connecticut,9
2022,218897,218897,county,connecticut,11
2022,124351,124351,county,connecticut,13
2022,93782,93782,county,connecticut,15
2022,167457,167457,county,illinois,19
2022,80546,80546,county,illinois,37
2022,85777,85777,county,illinois,91
2022,87579,87579,county,illinois,99
2022,82885,82885,county,illinois,115
2022,206392,206392,county,illinois,163
2022,90612,90612,county,louisiana,109
2022,121784,121784,county,maine,19
2022,124934,124934,county,maryland,43
2022,127298,127298,county,minnesota,145
2022,115025,115025,county,minnesota,171
2022,146425,146425,county,missouri,19
2022,82011,82011,county,missouri,71
2022,122241,122241,county,new mexico,49
2022,240688,240688,county,new york,27
2022,81664,81664,county,north carolina,49
2022,172809,172809,county,north carolina,101
2022,78943,78943,county,ohio,7
2022,82416,82416,county,ohio,29
2022,157590,157590,county,oregon,17
2022,164692,164692,county,south carolina,7
2022,284846,284846,county,south carolina,51
2022,227632,227632,county,south carolina,91
2022,158170,158170,county,tennessee,165
2022,108370,108370,county,tennessee,179
2022,200385,200385,county,virginia,550